Tenure,CityTier,WarehouseToHome,Gender,HourSpendOnApp,NumberOfDeviceRegistered,SatisfactionScore,NumberOfAddress,Complain,OrderAmountHikeFromlastYear,CouponUsed,OrderCount,DaySinceLastOrder,CashbackAmount,MaritalStatus_0,MaritalStatus_1,MaritalStatus_2,PreferredLoginDevice_0,PreferredLoginDevice_1,PreferredLoginDevice_2,PreferredPaymentMode_0,PreferredPaymentMode_1,PreferredPaymentMode_2,PreferredPaymentMode_3,PreferredPaymentMode_4,PreferedOrderCat_0,PreferedOrderCat_1,PreferedOrderCat_2,PreferedOrderCat_3,PreferedOrderCat_4,Churn
9.0,3,16.0,1,2.0,3,1,2,0,14.0,8.0,9.0,7.0,199.8,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0
6.0,3,13.0,0,1.0,3,4,1,0,17.0,0.0,1.0,2.0,143.02,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
8.0,1,15.0,1,3.0,4,4,10,0,19.0,0.0,1.0,0.0,165.4,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0
15.0,3,11.0,1,3.0,3,4,10,1,19.0,7.0,7.0,7.0,184.46,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1
12.0,1,13.0,1,4.0,5,3,4,0,12.0,3.0,8.0,8.0,178.21,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
24.0,1,9.0,0,2.0,3,3,3,0,11.0,2.0,2.0,3.0,231.16000000000003,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
1.0,1,23.0,1,3.0,3,5,2,0,12.0,0.0,1.0,8.0,145.58,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0
9.0,3,7.0,0,4.0,4,3,3,0,17.0,1.0,2.0,4.0,173.59,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0
15.0,2,8.0,1,3.0,1,5,8,0,16.0,0.0,1.0,3.0,162.72,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
11.0,1,8.0,1,2.0,3,1,6,1,11.0,0.0,1.0,2.0,139.44,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0
25.0,3,21.0,0,3.0,4,2,6,0,12.0,1.0,2.0,8.0,174.36,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
1.0,1,17.0,0,3.0,5,3,3,0,21.0,2.0,3.0,3.0,151.25,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1
28.0,1,12.0,1,3.0,4,5,6,0,15.0,2.0,2.0,3.0,319.06,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
9.0,3,6.0,1,4.0,4,5,3,0,23.0,1.0,2.0,3.0,215.69,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
2.0,3,9.0,0,3.0,3,3,2,0,14.0,0.0,1.0,2.0,155.61,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
2.0,1,34.0,0,3.0,4,5,2,0,14.0,0.0,1.0,4.0,137.85,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0
20.0,1,29.0,0,3.0,3,1,2,0,12.0,7.0,15.0,6.0,203.12,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1
13.0,3,10.0,1,3.0,4,1,8,0,11.0,1.0,2.0,11.0,208.55,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
19.0,2,11.0,0,3.0,6,3,6,0,22.0,2.0,2.0,3.0,222.56,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
1.0,3,10.0,1,4.0,4,5,3,1,19.0,2.0,2.0,4.0,166.94,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
8.0,1,10.0,0,4.0,4,4,3,0,13.0,8.0,8.0,10.0,179.33,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
23.0,3,14.0,1,2.0,3,4,8,0,15.0,0.0,2.0,2.0,138.75,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
1.0,3,36.0,1,4.0,6,5,10,0,19.0,2.0,3.0,3.0,174.69,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1
7.0,3,7.0,1,3.0,2,5,3,0,23.0,1.0,2.0,9.0,165.37,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
1.0,3,16.0,1,3.0,3,4,2,0,22.0,0.0,1.0,0.0,110.52000000000001,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
23.0,1,23.0,0,2.0,4,5,6,0,15.0,1.0,2.0,11.0,232.69,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
8.0,1,7.0,0,3.0,5,4,7,0,18.0,2.0,2.0,3.0,157.94,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
1.0,2,14.0,1,3.0,4,1,2,0,13.0,1.0,1.0,4.0,149.36,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
2.0,3,33.0,1,3.0,5,5,3,0,12.0,2.0,2.0,5.0,172.24,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
